,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
0,Opportunity at Persistent | Python Developer | Pun,Persistent Systems Limited.,Pune,5-8 Yrs,"('GIT', 'Linux', 'Docker', 'Django', 'MongoDB', 'Bash', 'Numpy', 'Flask')",9 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-opportunity-at-persistent-python-developer-pun-persistent-systems-limited-pune-5-to-8-years-301120001810?src=jobsearchDesk&sid=16075331657754872&xp=1&px=1,PREFERRED,Preferred Location - Experience 5 to 8 years Good communication Skills Total Experience...
1,Python Developer,Visions,Chandigarh,1-4 Yrs,"('GIT', 'Linux', 'Django', 'Html5', 'MySQL', 'Javascript', 'MongoDB', 'SQL Server')",4 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-visions-chandigarh-1-to-4-years-170919011966?src=jobsearchDesk&sid=16075331657754872&xp=2&px=1,HOT JOB,Required skills: Solid knowledge of Python and DjangoUnix / Linux experienceKnowledge o...
2,Python Backend Developer - Microservices Architecture,Hyperdimensions R&D,Pune,2-4 Yrs,"('REST API', 'Docker', 'Linux OS', 'Microservices Architecture', 'PostgreSQL', 'Django', 'Version Control System', 'Backend Architecture')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-backend-developer-microservices-architecture-hyperdimensions-r-d-pune-2-to-4-years-091220900293?src=jobsearchDesk&sid=16075331657754872&xp=3&px=1,HOT JOB,Job Location : Pune (for now work from home) Immediate joiners required Hands on experi...
3,Python Developer,SVK Global Solutions,Not Specified,3-4 Yrs,"('IT services', 'development', 'technical', 'Postgresql', 'HTML', 'it', 'cloud', 'GIT')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-svk-global-solutions-not-specified-3-to-4-years-180717501335?src=jobsearchDesk&sid=16075331657754872&xp=4&px=1,NULL,Experience: 3 to 4 years SVK Global: IT Services Outsourcing Partner Total Experience: ...
4,Cloud Developer ( Virtualization),IBM India Pvt. Limited,Bengaluru,3-5 Yrs,"('Cloud Developer', 'REST API', 'Chef', 'Puppet', 'agile development', 'Go Lang', 'No SQL DB', 'System Programming')",22 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-cloud-developer-virtualization-ibm-india-pvt-limited-bengaluru-bangalore-3-to-5-years-171120903181?src=jobsearchDesk&sid=16075331657754872&xp=5&px=1,HOT JOB,Shift between multiple projects and technologiesShould have 3-5 years of experience wit...
5,Software Engineer (Python),Perception System Pvt Ltd.,Ahmedabad,2-7 Yrs,"('code', 'Postgresql', 'testing', 'HTML', 'Backend', 'GIT', 'Linux', 'Coding')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-python-perception-system-pvt-ltd-ahmedabad-2-to-7-years-300119501464?src=jobsearchDesk&sid=16075331657754872&xp=6&px=1,NULL,We are looking for extremist in Python who can lead project backend. Responsibilities T...
6,Software Development Engineer Test,MKS Vision Pvt. Ltd.,Hyderabad,5-10 Yrs,"('Java', 'React.Js', 'AppliTools', 'Unix Shell Scripting', 'JSON', 'Angular', 'Microservices', 'Rest')",19 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-development-engineer-test-mks-vision-pvt-ltd-hyderabad-secunderabad-5-to-10-years-201120006125?src=jobsearchDesk&sid=16075331657754872&xp=7&px=1,PREMIUM,"Should be strong in at least one programming language (Java, python, .NET) Ability to w..."
7,Full Stack Developer,NBITS,Hyderabad,2-7 Yrs,"('server', 'css', 'code', 'technical', 'Postgresql', 'developing', 'HTML', 'bootstrap')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-full-stack-developer-nbits-hyderabad-secunderabad-2-to-7-years-111218500208?src=jobsearchDesk&sid=16075331657754872&xp=8&px=1,NULL,Candidate should be able to understand the business requirements and any technical limi...
8,Sr. Developer - Web Applications,Korgen Technologies (P) Limited,Chennai,2-6 Yrs,"('IT Skills', 'PHP', 'HTML', 'CSS', 'Javascript', 'assembly language', 'css', 'C')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-developer-web-applications-korgen-technologies-p-limited-chennai-2-to-6-years-030217502712?src=jobsearchDesk&sid=16075331657754872&xp=9&px=1,NULL,Graduate in Computer Science or related discipline 5 years of programming experience in...
9,Senior Python Developers x 2,Eagle Genomics Ltd,Hyderabad,4-9 Yrs,"('rest', 'python', 'github', 'git', 'server side', 'Docker', 'Linux', 'Agile')",14 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-python-developers-x-2-eagle-genomics-ltd-hyderabad-secunderabad-4-to-9-years-030919011189?src=jobsearchDesk&sid=16075331657754872&xp=10&px=1,HOT JOB,THE COMPANY This is your opportunity to join a pioneering company working at the inters...
